1girl,女の子
stitched hand,ステッチされた手
hydra splatling (splatoon),ハイドラント
arrow (jojo),スタンドの矢
koa (phrase),こあ
pressing button,ポチッ
snow white (disney) (cosplay),白雪姫（ディズニー）（コスプレ）
dumpster,ごみ箱
kissuisou uniform,喜翠荘
garderobe uniform,ガーデロベのユニフォーム
rickenbacker 4001,リッケンバッカー4001
mexican flag,メキシコの国旗
sexy no jutsu,おいろけの術
body control,操り
open cuffs,カフスを開きます
walkway,通路
kuromi (cosplay),クロミ（コスプレ）
behelit,ベヘリット
dawnmaker (honkai: star rail),ヘリオス
reactive armor,リアクティブアーマー
held up,持ち上げた
leaning against vehicle,靠在车辆上
arondight (fate),アロンダイト
british army,イギリス陸軍
benelli m4,ベネリM4
shepherd's crook,羊飼いの詐欺師
thors military academy branch campus uniform,Thors Military Academy Branch Campus Uniorm
button up skirt,ボタンダウンスカート
youkan (food),ようかん
checkered pants,チェッカーパンツ
hooded jumpsuit,フード付きジャンプスーツ
>3<,> 3 <
bread eating race,パン食い競争
heart cheeks,心の頬
implied bestiality,暗黙の獣姦
front braid,前侧发辫
1999,1999年
mona (genshin impact) (cosplay),モナ（ジェンシンインパクト）（コスプレ）
shoebill,ハシビロコウ
can't show this (meme),見せられないよ
dangle earrings,ぶら下がってイヤリング
torn skin,破れた肌
print neckerchief,ネッカチーフを印刷します
silver chain,シルバーチェーン
wryyyyyyyyyyyyyyyyyyyy,wryyyyyyyyyyyyyyyyyyyy
fishing lure,ルアー
fan over face,顔を越えてファン
dog on head,頭に犬
dewlap,デューラップ
are you my master,あなたがわたしのマスターか
border collie,ボーダー・コリー
rotting,腐る
cum on tail,尾の中出し
gyaru makeup,ギャルメイク
holding planet,惑星を保持します
metal ball,鉄球
magnetism,磁気
biopunk,バイオパンク
ro-500 (kancolle) (cosplay),RO-500（Kancolle）（コスプレ）
severed finger,切断された指
6 9,ガチャ目
improvised weapon,即興の武器
binder clip,バインダークリップ
knot gag,ノットギャグ
cheek-to-breast,頬から脳breast
paper cutout,紙の切り抜き
donut hair ornament,ドーナツの髪の飾り
cat on person,人に猫
looking at watch,時計を見ています
holographic touchscreen,ホログラフィックタッチスクリーン
aircraft catapult,航空機のカタパルト
sleep talking,話している睡眠
detached legs,脚の孤立した脚
bougu,防具
imminent fight,差し迫った戦い
pizza delivery,宅配ピザ
zeknova,ゼクノヴァ
spanish flag,スペインの国旗
microphone wand,マイクワンド
censored violence,検閲された暴力
carrier,キャリア
chariot,チャリオット
unworn neckerchief,ネッカチーフが削除されました
licking leg,脚をなめる
gaia memory,ガイアメモリ
veil over eyes,目の上のベール
jacket around neck,首の周りのジャケット
skydive,スカイダイビング
junkyard,廃品
chest cannon,チェストキャノン
samue,作務衣
muscular child,筋ショタ
vine whip,つるのムチ
tactical playboy bunny,重装バニーガール
sunagakure symbol,Sunagakureシンボル
blind obsession (e.g.o),盲目
ciao churu,ちゅーる
hong meiling (cosplay),Hong Meil​​ing（コスプレ）
zener card,ゼナーカード
ball bra,玉ブラ
gradient scarf,グラデーションスカーフ
multicolored umbrella,多色の傘
matcha parfait,抹茶パフェ
jitte,十手
shoulder angel,天使と悪魔(葛藤の表現)
hand eye,手の目
frog on head,頭のカエル
paris,パリ
stanchion,スタンション
peeing in cup,カップでおしっこ
teddy bear hair ornament,テディベアの髪の飾り
purple male underwear,紫の雄の下着
ak-15,AK-15
evo grim,エボルグリム
ship deck,シップデッキ
order of the black knights uniform,ブラックナイツユニフォームの順序
licking another's lips,他の人の唇をなめる
let's make touhou kids,東方子作りしましょ!
achievement unlocked,実績のロックが解除されました
three of diamonds,3つのダイヤモンド
slide phone,スライド式携帯電話
guilty challenge (meme),ギルティチャレンジ
pregnancy halo,腹ヘイロー
holy ring,聖なるリング
snorkel in mouth,口の中でシュノーケル
glue,接着剤
unworn cloak,マントを削除しました
paw up,ポーアップ
turks (ff7),タークス
eggshell hat,卵殻の帽子
siscon,シスコン
at knifepoint,KnifePointで
checkered panties,チェッカーパンティー
the magician (tarot),魔術師(タロット)
edging underwear,下着
malasada,マラサダ
model ship,モデル船
rivets,リベット
taekwondo,テコンドー
kirameki high school uniform,私立きらめき高校
tokyo skytree,東京スカイツリー
polka dot trim,水玉トリム
patchouli knowledge (cosplay),パチョリの知識（コスプレ）
leather choker,革のチョーカー
dentist,歯医者
catcher's mask,キャッチャーマスク
pepperoni pizza,ペパロニピザ
occult ball,オカルトボール
cat helmet,猫のヘルメット
golden generation (umamusume),黄金世代(ウマ娘)
stare down,見下す
mesh,メッシュ
aqua bodysuit,アクアボディスーツ
standing on another's head,他の人の頭の上に立っています
dogfight,ドッグファイト
top of moe 2021,MOE2021
plant wings,植物の翼
animal on chest,胸の動物
shocker (kamen rider),ショッカー
777 (nikke),777(勝利の女神:NIKKE)
polka dot sleeves,水玉の袖
gnome,ノーム
geometry,幾何学
takemoto izumi (style),野生の竹本泉
bandaid on ear,耳にbandaid
bug bite,虫刺され
shinjuku (fate/grand order),悪性隔絶魔境新宿
smith & wesson,スミス＆ウェッソン
alzano school uniform,アルザノスクールユニフォーム
shapes,形
bloomers around one leg,片足の周りのブルマー
monarch butterfly,オオカバマダラ
sea spray,浪花
capybara girl,カピバラの女の子
jenga,ジェンガ
ribbed gloves,リブ付き手袋
on mecha,メカで
sex slave,性奴隷
compass rose,羅針図
leaf skirt,リーフスカート
may,5月
telepathic sex,テレパシーセックス
jeogori (clothes),チョゴリ
bedside,ベッドサイド
hyena,ハイエナ
crosscounter,クロスカウンター
umbrella stand,傘立て
eclair (food),エクレア
my first star (idolmaster),マイファーストスター
toy robot,おもちゃロボット
zui zui dance,ズイ(((ง_̆ω_̆)ว))ズイ
build driver,ビルドドライバー
paladin,パラディン
hime gyaru,姫ギャル
rope necklace,ロープネックレス
standing on chair,椅子の上に立っています
f-22 raptor,らぷたん
panty bulge,パンティーバルジ
nameplate,ひょうさつ
sideboob paizuri,横乳ズリ
removing hat,帽子を取り除く
dragon radar,ドラゴンレーダー
chanel,シャネル
spoken sound effect,音效对话框
captcha,私はロボットではありません
holding finger,指を持っている
auction,オークション
japanese white-eye,メジロ
tokkoufuku,特攻服
milkor mgl,ダネルMGL
speedo (company),Speedo（会社）
rhinoceros ears,サイの耳
bowling pin,保龄球瓶
white polka dots,白いポルカのドット
agemasen! (meme),あげません!
corinthian helmet,コリント式ヘルメット
mondstadt city,モンド城
sakura five,サクラファイブ
bodyguard,ボディーガード
wing tattoo,ウィングタトゥー
st. louis (azur lane) (cosplay),st。ルイ（アズールレーン）（コスプレ）
floating city,浮かぶ都市
oversized plant,特大の植物
baby carrier,ベビースリング
suspension bridge,吊り橋
dromas (honkai: star rail),大地獣
toyota supra,スープラ
humagear headphones,Humagearヘッドフォン
skort,裙裤
animal on leg,脚の動物
intangible,無形
military medic,衛生兵
bit (gundam),ビット(ガンダム)
deadpan,デッドパン
fur sweater,毛皮のセーター
staccato 2011,書記の採決
heart ring top,ハートリングトップ
untying hair,解开头发
nintendo 64,ニンテンドウ64
lap pov,ラップPOV
black chemise,黒い化学
z3 max schultz (kancolle) (cosplay),Z3 Max Schultz（Kancolle）（コスプレ）
headpatting viewer,着信ヘッドパット
x-shaped eyewear,X字型のアイウェア
bt-42,BT-42
kiwi (bird),キーウイ
raptor,ラプトル
seal script,篆書
unworn sarong,サロンは削除した
shared handcuffs,共用手铐
hand in bikini,ビキニに手を入れます
lungs,肺
rupee (zelda),ルピー
pantyshot through reflection,反射パンチラ
boiling,沸かす
simulated bukkake,謎の白い液体
front and back,表裏
no neckwear,ネックウェアはありません
hood basket,フードバスケット
anal prolapse,脱肛
shirt aside,シャツは別として
octo shot (splatoon),オクタシューター
sheep hair ornament,羊の髪の飾り
united states air force,アメリカ空軍
gn drive,GNドライヴ
rocket punch,ロケットパンチ
areadbhar (fire emblem),アラドヴァル
multicolored vest,多色のベスト
curling iron,ヘアアイロン
traffic bollard,ボラード
measuring cup,計量カップ
imminent fingering,差し迫った運指
futou,幞头
cure white (cosplay),ホワイトを治す（コスプレ）
datehyogo,伊達兵庫
jinki-style restrained,土の字拘束
nintendo 64 controller,任天堂64コントローラー
animal cutout,動物の切り抜き
radiator,ラジエーター
holding gag,ギャグを保持します
psychic type theme (pokemon),エスパータイプ
locked slide,ロックされたスライド
star and crescent,星と三日月
folding knife,ポケットナイフ
boku wa sonzai shiteinakatta,僕は存在していなかった
pushpin,画鋲
shiba koen middle school uniform,Shiba Koen Middle Schoolユニフォーム
goshoguruma,ゴーショグルマ
photo shoot,写真撮影
dormer,ドーマー
waist brooch,ウエストブローチ
chocolate lady no karasawagi,チョコレート・レディの空騒ぎ-Valentine_2016-
nest ball,ネストボール
tomato juice,トマトジュース
serval (kemono friends) (cosplay),serval（kemonofriends）（コスプレ）
shichiten shichitou,七天七刀
slam dunk (basketball),扣篮
blue unitard,ブルーユニタード
shouryuuken,昇龍拳
although she hurriedly put on clothes (meme),実はさっきまでセックスしてた
forehead writing,額の書き込み
hair bondage,髪の束縛
polka dot pants,水玉パンツ
heaven,天国
disc,ディスク
armored trooper,アーマードトルーパー
fawn,子鹿
hammerhead shark,シュモクザメ
pilot chair,パイロットチェア
blowing on food,食べ物に吹く
yamato (uchuu senkan yamato),宇宙戦艦ヤマト
butterfly background,蝶の背景
lipstick mark on shoulder,肩の口紅マーク
