hatsune miku,初音ミク
nowak (chi.),ノヴァク
neilnail (xenoblade),ニール・ネール
arad molders,アラド・メルダース
tadasugawa rei,糺川礼
pallas (heritage) (arknights),パラス（遺産）（arknights）
krithia (roco kingdom: world),可丽希亚
kitsurubami,キツルバミ
clorica (rune factory),クローリカ
alf (silver palace),阿芙·女仆
getter-2,ゲッター2
getter-3,ゲッター3
ikutsuki shuuji,幾月修司
ulith (wixoss),ウリス
narcistoru,ナルシストルー
kuroiwa mitsuru,黒岩満
dmitri donskoi (azur lane),ドミートリィ・ドンスコイ
patricia dorval,パトリシア・ドーヴァル
fine (universal princess) (futagohime),ユニバーサルプリンセス
sasaki chie's mother,千枝ママ
meu meu,芽兎めう
hibino waku,日比野羽来
charlotte (ac8231),シャーロット・グアルディア
bellona (epic seven),ベローナ（壮大な7）
castform (snowy),ゆきぐものすがた
lima (princess connect!),リマ
lilith (megami tensei),リリス
tami (girls und panzer),タミ(GuP)
kamoi tsubame,鴨居つばめ
kon rei,金李
kisugi hitomi,来生瞳
suzuhara lulu (5th costume),鈴原るる(宇宙猫ゲーマー)
hikari (ama mitsuki),ヒカリ
sandy (dq9),サンディ(DQ9)
mothman (megami tensei),モスマン(女神転生)
player character (street fighter 6),アバター(ストリートファイター6)
hikaru (angelic layer),ヒカル
dukemon crimson mode,デュークモンクリムゾンモード
mikoshiba kenta,御子柴賢太
opal (steven universe),オパール(スティーブン・ユニバース)
muchao (yuuki sakuna),むちゃお
senketsu (scarf),センケツ（ス​​カーフ）
arise kaguya,有瀬かぐや
min suha,ミン・スゥーハ
touya kazuma,燈夜カズマ
matilda caskett (mega man),マチルダ・キャスケット
kamen rider gavv (poppingummy form),ポッピングミフォーム
the judge (ace attorney),サイバンチョ
marika (marie & gali),マリカ
anya melfissa (steampunk),アーニャ・メルフィッサ(スチームパンク衣装)
waitress zundamon,スタンプラリーふとももムチムチずんだもん
ortlinde (swimsuit assassin) (fate),オルトリンデ(水着)
whitecul,ホワイトカル
tokino sora (hololive summer 2019),ときのそら(ホロライブ・サマー2019)
reika (time gal),レイカ(タイムギャル)
gyuuki (yuyuyu),牛鬼
rurikawa tsubaki,瑠璃川椿
loogamon,ルガモン
nero claudius (bath robe) (fate),湯浴みローブ
asuka mirai (aikatsu friends!),明日香ミライ
christmas elf,クリスマスエルフ
aurora (last origin),アウローラ(ラストオリジン)
hiiragi akira (valkyrie drive -mermaid-),柊晶
shadow futaba,シャドウ双葉
shinomiya kokoa,四ノ宮心愛
yuzuki (wixoss),ユヅキ(WIXOSS)
yukina (kabaneri),侑那(甲鉄城のカバネリ)
narimasu mizuho,成増みずほ
adaman (special costume) (pokemon),セキ(スペシャル)
molayne (pokemon),マーレイン
orfevre (racehorse),オルフェーヴル
shirasu (iriam),しらす(IRIAM)
stardust cookie,スターダストクッキー
jesselton williams (arknights),ジェッセルトン・ウィリアムズ
siege (city destroyer) (arknights),Siege（City Destroyer）（Arknights）
kamen rider live,仮面ライダーライブ
shirako (vtuber),白桃Shirako
tarou (shironeko project),タロウ（シロネコプロジェクト）
lava the purgatory (dusk wisteria) (arknights),溶岩The Purgatory（Dusk Wisteria）（Arknights）
kristoff (frozen),クリストフ（フローズン）
avalo pizarro,アバロ・ピサロ
portgas d. anne,ポルトガスd。アン
doctor (last origin),ドクター（最後の起源）
parallel canon,イカイノカノン
maria (saidaioujou),真璃亜
jiuyue (feiren zai),九月
sandy bash,サンディ・バッシュ
ebino mei,江火野芽衣
ryuuhou (azur lane),龍鳳(アズールレーン)
apocalypse bird,終末鳥
gouto renya,郷登蓮也
elemental master (ragnarok online),エレメンタルマスター
ameno sagiri (persona),アメノサギリ
singing machine,歌う機械
celsius (tales),セルシウス
galatea the orcust automaton,オルフェゴール・ガラテア
amulet dia,アミュレットダイヤ
mizushino sono,水篠苑
sopdet (p&d),ソティス
hanakoganei hibari,花小金井ひばり
mr. bright,Mr.シャイン&Mr.ブライト
sleipnir (last origin),P-49スレイプニール
heidi (alps no shoujo heidi),ハイジ（アルプスノー・ショーホ・ハイジ）
mighty morphin green ranger,マイティ・モーフィン・グリーンレンジャー
clarice lapis,クラリス・ラピス
wakunouchi kai,わくのうちかい
rokujou miyuki,六条深雪
sami (advance wars),ドミノ
chaos (dungeon and fighter),カオス（ダンジョンとファイター）
ose (housamo),オセ
kamen rider leangle,仮面ライダーレンゲル
kazami yuuka (seihou),宵闇小町
karasuma sakura,烏丸さくら
skyla (holiday 2020) (pokemon),フウロ(20シーズン)
grandmother (little red riding hood),祖母（リトルレッドライディングフード）
nina (yumoran),ニナ
a'gen (the legend of luoxiaohei),阿根
sahaquiel (evangelion),サハクィエル
blue oak (champion),グリーン(チャンピオン)
jenma-chan,ジェンマちゃん
han joon-gi,ハン・ジュンギ
cheryl christia,シェリル・クリスティア
beach boy (stand),ビーチ・ボーイ
murch (splatoon),スパイキー
victor (tales),ヴィクトル
arashiyama jun,嵐山准
mr. stitch,ツギハギの男
silver (genshin impact),シルヴァ
nanba hibito,南波日々人
purrely,ピュアリィ
shaw (girls' frontline),ショウ(ドールズフロントライン)
yvraine,イヴライネ
hk416 (fang) (girls' frontline),HK416（牙）（女の子の最前線）
tb (type-s) (azur lane),TB(アズールレーン)
kamen rider zero-two,仮面ライダーゼロツー
mad moxxi,狂ったモクシ
shinonome kokona,東雲心菜
takasago tomoe,高砂智恵
circe (last origin),キルケー(ラストオリジン)
yuugure (azur lane),夕暮(アズールレーン)
prince of wales (the laureate's victory lap) (azur lane),栄冠のビクトリーレーシング
daphne (last origin),ダフネ（最後の起源）
excalibur (soul eater),エクスカリバー(ソウルイーター)
murano tsukasa,村野つかさ
selen tatsuki (casual),セレン・龍月(くまパーカー)
charlotte lily hughjack,シャーロット・リリィ・ヒュージャック
cure magical (sapphire style),サファイアスタイルマジカル
kusakari rena,草刈レナ
kannagiri nagamitsu (tenka hyakken),鉋切長光(天華百剣)
urokodaki sakonji,鳞泷左近次
grandis granva,グランディス・グランバァ
mylene rafa holfort,ミレーヌ・ラファ・ホルファート
george weasley,ジョージ・ウィーズリー
tsutsukakushi seika,筒隠星花
ryuuga sayo,龍賀沙代
okuda manami,奥田愛美
gokotai yoshimitsu,五虎退吉光
takagi junjirou,高木順二朗
trip the sungazer,トリップ・ザ・サンゲイザー
march 7th (kfc) (honkai: star rail),三月なのか(KFCコラボ)
kagamin boo,かがぶー
sicily (disgaea),シシリー
bee (minecraft),ミツバチ(minecraft)
sieglinde eremiah,ジークリンデ・エレミア
lan xichen,蓝曦臣
nekone uyu,猫音うゆ
red arremer,レッドアリーマー
dirk strider,ダーク・ストライダー
enterprise (starlight oath) (azur lane),マリースター
enyo (granblue fantasy),エニュオ
nick carlyle,ニックカーライル
ringo (soul hackers 2),リンゴ(ソウルハッカーズ2)
midori ryo,観鳥令
inuwaka nazuna,犬若なずな
mukago (kimetsu no yaiba),下弦の肆
henao jazz,エナオ・ジャズ
namakeruda,ナマケルダ
anju (utawarerumono),アンジュ(うたわれるもの)
kasamatsu yukio,笠松幸男
trento (summer's hotness?) (azur lane),マルチプル・テンプテーション
skull heart,頭蓋骨の心
niwa nagahide (oda nobuna no yabou),丹羽長秀
melda deitz,メルダ・ディッツ
bandou marimo,板東まりも
christoph aurel arland,クリストフ・オーレル・アーランド
star breaker (orange juice),スターブレイカー
ultraman cosmos,ウルトラマンコスモス(キャラクター)
rextia,レクスティア
shirokuma (danganronpa),シロクマ
ally (puyopuyo),アリィ
yotsuba satsuki,四葉五月
kyouko (korezom),京子
elnowar seylan,エレノワール・セイラン
yomi (vesperbell),ヨミ
chrom (spring exalt) (fire emblem),クロム（春）（火の紋章）
mu xiaokui (phantom blade),沐小葵
fujimiya an,藤宮杏
hanakoizumi an,花小泉杏
uchida mayumi,内田まゆみ
m82a1 (girls' frontline),M82A1(ドールズフロントライン)
becca (pokemon),ベッキー(トレーナー)
camus (fire emblem),カミュ
leon luis,レオン・ルイス
zeus (fate),ゼウス(Fate)
eleanor (maou-sama to kekkonshitai),エレノア（マウサマからケッコンシタイ）
ruan miemie,软咩咩
yonab (yonab),ヨナブ（ヨナブ）
gurren,グレン
gm iii,ジムIII
ksenia (girls' frontline 2),クシーニヤ(ドールズフロントライン2)
banba shin'ya,番場真夜
moe (bosshi),モー（ボシ）
dew (fire emblem),デュー
uss lexington (cv-16) (y.ssanoha),USSレキシントン（CV-16）（Y.Ssanoha）
ryofu (koihime musou),呂布
gamagoori ira (scourge regalia),死縛の装
porno dianno,ポルノ・ディアノ
neneko (rariatto),ネネコ（rariatto）
tsuji airi,ツジアイリ
oohara kotone,大原ことね
sode no shirayuki,袖白雪
kinoshita ringo (no-rin),草壁ゆか
machi youko,町洋子
burton (ninjala),バートン
yukishiro reika,久世零華
cinder (norasuko),シンダー（ノラスコ）
quelaag's sister,混沌の娘
yumeno kanade,夢野奏
mutsuba asana,六葉アサナ
sorbet (hotel01),シャーベット（Hotel01）
deadly chaser (elsword),Deadly Chaser（Elsword）
albert maverick,アルバート・マーベリック
harpie dancer,ハーピィ・ダンサー
serizawa madoka,芹沢マドカ
hype beast crypto,誇大広告ビーストクリプト
picologil,ピコロギル
nakajima nishiki,中島錦
rudeus (haevest),rudeus（haevest）
cheria barnes (little imp),小悪魔
chapayev (white cavalier's respite) (azur lane),白騎兵の休日
leonid (shining nikki),リアリド
yae kaori,八重花桜梨
kamen rider meteor,仮面ライダーメテオ
shiba natsuki,志波奈月
lilco,りるこ
old coco,古いココ
tsurugi yuuichi,剣城優一
shirakawa yuuko,白川ゆく
vegeta (xeno),ベジータ:ゼノ
ouma mana,桜満真名
tamano hinagiku,珠野ひなぎく
shinatose izana,科戸瀬イザナ
helena k sink,ヘレナ・Kシンク
nanasaki nicole,七咲ニコル
amatsuka rikka,アマツカリッカ
saionji mikoto,ミコト
mase yuuko,ゆうをマスします
lee ji-min,リー・ジミン
burning arisa,バーニングアリサ
emina (emina&aki),エミナ（エミナ＆アキ）
krampus (grizz),クランプス（グリズ）
keikain yura,花開院ゆら
osanai shouko,小山内梢子
otonokoji hibiki,音ノ小路響
layla (sound horizon),レイラ（サウンドホライズン）
dijeh,ディジェ
kuroe ayaka,黒江綾香
kurenai (red ninja),クレナイ（レッドニンジャ）
chachazero,チャチャゼロ
uematsu koboshi,上umatsu koboshi
kaburagi sui,鏑木彗
semi-perfect cell,半完全体セル
jay (tales),ジェイ
ma chao (shin sangoku musou),馬超(真・三國無双)
dorothy catalonia,ドロシー・カタロニア
natsumezaka shiki,棗坂シキ
thoma avenir,トーマアベニール
onimaru miki,鬼丸美輝
tiger mask (character),タイガーマスク
rei-chan (konachiu),レイちゃん（コナチウ）
haiba lev,灰羽リエーフ
frederika (hitsugi no chaika),フレデリカ（vitsugi no chaika）
sukimi,スキミ
saniwa (katsugeki/touken ranbu),活撃審神者
nanami mizuki,水月ななみ
toto (lom),トト（ロム）
witchcrafter genni,ウィッチクラフト・ジェニー
lirin (bae.c),リリン（bae.c）
hidaka koharu,日高小春
takamiya honoka,多華宮仄
shiki seishirou (eroe),シキ・シシロウ（エロエ）
tojo kaname,十条要
alyn (fairy fencer f),アリン(FFF)
aria (vampeerz),アリア
kaga (battleship) (kancolle),カガ（戦艦）（カンコル）
eva 03,エヴァ参号機
batwoman,バットウーマン
nocturne (league),ノクターン（リーグオブレジェンド）
rayman,レイマン
iris -another- (mega man),渾然たるアイリス
virus (dramatical murder),ウイルス（劇的な殺人）
william d. porter (azur lane),ウィリアム・D・ポーター(アズールレーン)
xingzhu (arknights),シィンズゥ
cho'gath (league),Cho'gath
kewl tune cue,キラーチューン・キュー
minus (reverseblue),マイナス(リバリバ)
sovetsky soyuz (skyfall agent) (azur lane),フォールスカイ・エージェント
sylus (relentless conqueror) (love and deepspace),无尽掠夺者
walpurgisnacht's familiars,Walpurgisnachtの家族
kabakura tarou,樺倉太郎
sayuri (singer),さユり
hazuki shino (chaos;head),葉月志乃
cocono aqua,ココノ・アクア
u-olga marie (second ascension),U-オルガマリー(アンビースト)
melty pristis,メルティ・プリスティス
floral rebirth (infinity nikki),枯骨に咲く花
nikol (xenoblade),ニコル(ゼノブレイド3)
hilda (sygna suit) (pokemon),マジコストウコ
f.a.n.g,ファン(ストリートファイター)
sounds of earth (ritmo della terra) (umamusume),リトモ・デッラ・テッラ
alexa (pokemon),パンジー(トレーナー)
dream journey (racehorse),ドリームジャーニー
artur (fire emblem),アスレイ
sanada arata,真田アラタ
shizu (kino no tabi),シズ
skarner (league),スカルナー
pandemonium society member (blue archive),万魔殿のモブ
daiya fortuna,ダイヤ・フォルトゥナ
scathach (formal dress) (fate),英霊正装
nishi touko,西透桜子
haishan nick,山海nick
shakomon,シャコモン
momozono meru,桃園める
giygas,ギーグ
collared peccary (kemono friends),クビワペッカリー(けものフレンズ)
howard link,ハワード・リンク
