original,オリジナル
ponkotsu keisatsukan wa watashi ni muchuu,ポンコツ警察官は私に夢中
soushin shoujo matoi,装神少女まとい
migi ni ma gaaru (utau),右に曲ガール
mousugu natsuyasumi! 2,もうすぐ夏休み!2
phi brain puzzle of god,ファイ・ブレイン
cloud horizon,雲際線工作室
prince of persia,プリンスオブペルシャ
cat fantasy,キャットファンタジー
gothic delusion,ゴスデリ
cmyk: sameda kazuou wa chuunibyou ga naosenai,CMYK鮫田和王は厨二病が治せない
last embryo,ラストエンブリオ
egao no riyuu,エガオノリユウ
shin sangoku musou 3,真・三國無双3
panilla the revival,パニリヤ・ザ・リバイバル
mahou senshi louie,魔法戦士リウイ
transistor (game),トランジスタ（ゲーム）
girls und panzer: atsumare! minna no senshadou!!,ガールズ&パンツァーあつまれ!みんなの戦車道!!
fight class 3,Gyeoggi 3禁止
ultraman x (series),ウルトラマンX
maji de watashi ni koi shinasai! s,真剣で私に恋しなさい!S
sonic & knuckles,ソニック&ナックルズ
yuusha no yabou,勇者の野望
kishibe rohan wa ugokanai (live action),岸辺露伴は動かない(実写版)
unlimited saga,アンリミテッド:サガ
harvestella,ハーヴェステラ
uchiage hanabi shita kara miru ka? yoko kara miru ka?,打ち上げ花火、下から見るか?横から見るか?
hoshi no girls odyssey,星のガールズオデッセイ
school fanfare,学校のファンファーレ
ms.assistant,アシスタントさん
blanche fleur,らしゅるる
sakamoto desu ga?,坂本ですが?
flight highschool,飛行高校
silicon magic,シリコンマジック
koi de wa naku,恋ではなく
sugar+spice!,シュガー+スパイス！
aishiteruze baby,愛してるぜベイベ★★
thank you friends!!,皆ありがとう！！
mf ghost,MFゴースト
the weaver girl and the cowherd,牛郎織女
zola project,ゾラプロジェクト
kamen rider the first,仮面ライダーTheFirst
kanojo no carrera,彼女のカレラ
sakugan,サクガン
ren'ai boukun,恋愛暴君
chou eshi ten ~if no gakkyoku sekai ten~,超絵師展
chi's sweet home,チーズスイートホーム
hatsuru koto naki mirai yori,果つることなき未来ヨリ
royal flush heroes,ロイヤルフラッシュヒーロー
aria the avvenire,Aria the Avvenire
pokemon bank,ポケモンバンク
sei dorei gakuen,聖奴隷学園
inraku no ketsuzoku,inraku no ketsuzoku
ore monogatari!!,俺物語!!
wonder festival 2005,ワンダーフェスティバル2005
transformers: the headmasters,トランスフォーマーザ☆ヘッドマスターズ
eroge!,えろげー!
monster hunter 4 g,モンスターハンター4G
tayutama 2,タユタマ2
eiyuu kyoushitsu,英雄教室
yamiyo ni odore,闇夜に踊れ
mirai millennium,ミライミレニアム
wizard girl ambitious,魔法使いの少女野心的
kuutei senki,空帝戦騎~黄昏に沈む楔~
okusama wa mahou shoujo,奥さまは魔法少女
3ldk,3ldk
kitakubu katsudou kiroku,帰宅部活動記録
debris (game),デブリ（ゲーム）
subverse,代表
koyoi mo meshimase alicetale,今宵も召しませAlicetale
mahoroba youjo kitan,まほろば妖女奇譚
makai tenshi djibril 4,魔界天使ジブリール4
sex and dungeon,セックス&ダンジョン
angelmaster,エンジェルマスター
akuma de oshioki!,アクマでオシオキっ!
hunting era,狩猟時代
atelier resleriana: the red alchemist & the white guardian,紅の錬金術士と白の守護者〜レスレリアーナのアトリエ〜
36c u.b.u (idolmaster),36°CU・B・U
groove on fight,グルーヴオンファイト
hana no ko lunlun,花の子ルンルン
young avengers,ヤングアベンジャーズ
seijuu sentai gingaman,星獣戦隊ギンガマン
tamagotchi meets,たまごっちみーつ
gunbird,ガンバード
parerdemia gakuen,パレデミア学園
mannequin (vocaloid),マネキン
phantom siita,ファントムシータ
mahou shoujo ikusei keikaku f2p,魔法少女育成計画F2P
pokemon tcg gb,ポケモンカードGB
fluorite (idolmaster),フローライト
atelier karia,カリアのアトリエ
majigawa,マジガワ!〜魔法少女のきぐるみ〜
sam & max,サム&マックス
reincarnation no kaben,リィンカーネーションの花弁
dune (2021 movie),DUNE/デューン砂の惑星
mahou shoujo tokushusen asuka,魔法少女特殊戦あすか
jidouhanbaiki ni umarekawatta ore wa meikyuu wo samayou,自動販売機に生まれ変わった俺は迷宮を彷徨う
earth defense force 5,地球防衛軍5
chiguhagu trick,チグハグトリック
luka luka night fever (vocaloid),ルカルカ★ナイトフィーバー
pokemon evolutions,ポケモンエボリューションズ
mikoto-chan wa kirawaretakunai!,みことちゃんは嫌われたくない!
springfish studio,春魚工作室
otome kaijuu carameliser,乙女怪獣キャラメリゼ
interstellar (movie),インターステラー
envy cat walk (vocaloid),エンヴィキャットウォーク
nonohara yuka no himitsu no haishin,野々原柚花のヒミツのハイシン
transformers: cyberverse,トランスフォーマーサイバーバース
deus ex: human revolution,Deus Ex：人間革命
nijuuseiki denki mokuroku,二十世紀電氣目録
venus vacation prism: dead or alive xtreme,VVプリズム
nintendo direct,ニンテンドーダイレクト
aku no hana,惡の華
hanairo heptagram,花色ヘプタグラム
barbie as the princess and the pauper,バービーの王女と村娘
wakaba iro no quartet,若葉色のカルテット
sugao no pixel,素顔のピクセル
professor layton and the unwound future,レイトン教授と最後の時間旅行
district 9,第9地区
return of the condor heroes,神鵰俠侶
cara the blood lord,カーラTheBloodLord
cheat kusushi no slow life,チート薬師のスローライフ~異世界に作ろうドラッグストア~
donkey kong 64,ドンキーコング64
mounten,一拾山
castlevania: harmony of despair,悪魔城ドラキュラハーモニーオブディスペアー
kyojin no hoshi,巨人の星
guilty crown lost christmas,ギルティクラウンロストクリスマス
himuro no tenchi,氷室の天地
kaguya-hime no monogatari,かぐや姫の物語
seiken tsukai no world break,聖剣使いの禁呪詠唱
kamichama karin,かみちゃまかりん
apocalypse now,地獄の黙示録
punch punch forever!,パンチパンチフォーエバー
snowdreams -lost in winter-,花落冬陽
hatsunetsumiko's,発熱巫女~ず
komeda's coffee,コメダ珈琲店
ready player one,ゲームウォーズ
clover (manga),CLOVER(CLAMPの漫画)
the unlimited: hyoubu kyousuke,THE_UNLIMITED_兵部京介
ayakashi onmyouroku,あやかし陰陽録
91 days,91日
hoshikoi tinkle,星恋*ティンクル
bundesliga,ブンデスリーガ
koisuru natsu no last resort,恋する夏のラストリゾート
decoration disorder disconnection,DDD(小説)
the path,パス
dead rising 1,デッドライジング1
minamoto-kun monogatari,源君物語
trash taste,トラッシュ・テイスト
blue moment (love live!),ブルウモーメント
lovely idol,らぶドル
kokoro toshokan,ココロ図書館
koibito ijou no koto wo kanojo janai kimi to,恋人以上のことを、彼女じゃない君と。
mojipittan,もじぴったん
onegai! ranking,お願い!ランキング
paradigm paradox,パラダイムパラドックス
hitomebore,ひと目惚れ
lost passage,失われた通路
grancrest senki,グランクレスト戦記
fuuka,風夏
gungrave,ガングレイヴ
ayakashi h,ayakashi h
bioshock 2,バイオショック2
m.a.d mafia is all dead,M.A.Dマフィアはすべて死んでいます
yakin byoutou san,夜勤病棟・参
kansen (series),姦染
koto-channel,孤島ちゃんねる
alto,アルト
toshiue lesson,年上Lesson~義母と叔母と女教師と~
nikaime,ニカイメ
tenkuu senki shurato,天空戦記シュラト
the sky crawlers,スカイ・クロラ
natsumegu,ナツメグ
gadget trial,ガジェットトライアル
mushiuta,ムシウタ
hinatabokko,日向
grandia online,Grandia Online
dolls order,ドールズオーダー
sasameki koto,ささめきこと
moonlight blade,天涯明月刀OL
shiboritoranaide onna shounin-san,搾り取らないで、女商人さん!!
ayakashi kyoushuutan,あやかし郷愁譚
schoolgirls love tentacles,女子学生は触手が大好きです
maid-san to boin damashii,メイドさんとボイン魂
shin megami tensei devil children,真・女神転生デビルチルドレン
baku ane otouto shibocchau zo!,ばくあね弟しぼっちゃうぞ!
eve no jikan,イヴの時間
lavender quartz: kyoukai hyoudou,LQ境界
sekai symphony,セカイシンフォニー
diary of a wimpy kid,グレッグのダメ日記
kara-koi-invitation,絡恋インヴィテーション
new testament,新約聖書
kasane territory (utau),重音territory
kowloon generic romance,九龍ジェネリックロマンス
nine inch nails,ナイン・インチ・ネイルズ
kurono-san wa occult ga suki!,黒乃さんはオカルトが好き!
mouko tanmen nakamoto,蒙古タンメン中本
janken game acchi muite hoi!,ジャンケンゲームあっちむいてホイ!
the x-files,X-ファイル
puzzle (vocaloid),パズル
atelier judie,ユーディーのアトリエ
zweigen kanazawa,ツエーゲン金沢
traffic jam (vocaloid),トラフィック・ジャム
ultimate girl,UG☆アルティメットガール
fury (movie),フューリー（映画）
soul tide,ソウルタイド
marvel super heroes vs. street fighter,マーヴルスーパーヒーローズvs.ストリートファイター
seifuku kanojo 3,制服カノジョ3
reiwa no di gi charat,令和のデ・ジ・キャラット
akinator (site),アキネイター
akai koudan zillion,赤い光弾ジリオン
snow man (jpop),SnowMan(ジャニーズ)
multiversus,マルチバーサス
koiiro marriage,恋色マリアージュ
sugar rush (hololive),シュガーラッシュ(miComet)
ziga,ジガ
ore wa subete wo parry suru,俺は全てを【パリイ】する
sugar conflict,シュガーコンフリクト
lady and the papyrus,少女莎草紙
20th century boys,20世紀少年
tear ring saga series: berwick saga,ベルウィックサーガ
kuu ka kuwareru ka?,食うか、食われるか?
kyochuu rettou,巨蟲列島
dunkin' donuts,ダンキンドーナツ
tokimeki tonight,ときめきトゥナイト
chimera (vocaloid),キメラ
magical nuko-lenlen (vocaloid),マジカル☆ぬこレンレン
blame gakuen!,ブラム学園!
narue no sekai,成恵の世界
boku no tsuma wa kanjou ga nai,僕の妻は感情がない
resident evil outbreak,バイオハザードアウトブレイク
kamisama choose! sensei onna no ko niatteru yo!,神様ちゅ~ず!
root double -before crime after days-,ルートダブル
p-model,核P-MODEL
kimi no suizou wo tabetai,君の膵臓をたべたい
maha5japan,Maha5Japan
rrr (movie),RRR(インド映画)
how to train your dragon: the hidden world,ヒックとドラゴン3
tearmoon teikoku monogatari,ティアムーン帝国物語
heion sedai no idaten-tachi,平穏世代の韋駄天達
gakuen tengoku,ガクン・トンゴク
cure girl,キュアガール
meika-san wa oshikorosenai,メイカさんは押しころせない
bubble bobble,バブルボブル
toshoshitsu no kanojo,図書室ノ彼女
open beta (vtuber),流星群プロジェクト
pretty x cation 2,プリティケーション2
pajamy (vocaloid),パジャミィ
imouto no katachi,カタチはありません
godzilla vs. spacegodzilla,ゴジラvsスペースゴジラ
metropolis,メトロポリス
tamayomi,球詠
riverbed soul saver,東方桃源宮
peach (airline),ピーチ・アビエーション
softenni,そふてにっ
seven colors of the wind,7色の風
lie huo jiao chou,烈火浇愁
bakugan gundalian invaders,ガンダリアンインベーダーズ
maid in heaven,めいどいんへぶん
witch hunter robin,ウィッチハンターロビン
carciphona,カルシフォナ
mononofu ~shirayuri kassen maihime~,もののふ~白百合戦舞姫~
lazytown,レイジータウン
bakugan new vestroia,ニューヴェストロイア
pictoria,ピクトリア
muv-luv altered fable,マブラヴオルタードフェイブル
tsubaki-sama wa sakihokore nai,椿様は咲き誇れない
gelbooru,ゲルブール
bukatsu kikaku,ブカツキカク
